playerID,time,process,stopTime,stopCount,stopMeanTime,mean,var,standardMean,meanRate,standardVar,varRate
A01,19.05,1.0,1.0,1,1.0,13.34385391109246,228.51819851590977,11.9647216796875,1.11527,179.6887130429179,1.27174
A02,15.8,0.795001208782196,4.9,2,2.45,14.455725196900406,196.03270524215577,14.512665417729592,0.99608,175.72552662748254,1.11556
A04,12.4,0.8450013995170593,1.85,1,1.85,17.206770910470972,147.80677745670678,13.135332380022321,1.30996,87.80859891221394,1.68328
A05,14.4,0.7850011587142944,3.35,2,1.675,15.068264078473513,273.4187275914147,17.812786491549744,0.84592,248.7592811246409,1.09913
A06,18.0,0.5450002551078796,9.75,4,2.4375,4.6093827751791405,48.19828809348949,3.910873875473485,1.17861,45.848764475305614,1.05125
A07,10.450000000000001,0.7250009775161743,1.2000000000000002,1,1.2,16.977258630701012,143.1052122385483,8.814853575171494,1.92598,124.32007484975948,1.1511
A09,13.850000000000001,0.6000005006790161,4.1000000000000005,2,2.05,10.432389479417067,174.3606974656453,13.02392578125,0.80102,148.78497499025474,1.1719
A10,23.05,0.6466678977012634,9.05,3,3.01667,18.416688707139755,385.90292286781266,13.511782786885245,1.36301,142.18960905254215,2.714
A12,11.350000000000001,0.6600006818771362,0.0,0,0.0,10.819631723257212,111.50512094088579,11.97543674045139,0.90349,134.53764656832354,0.8288
A17,14.600000000000001,0.5500003099441528,4.3500000000000005,2,2.175,8.723309834798178,121.49470293153378,13.395543591729526,0.65121,188.9036616416399,0.64316
A20,23.150000000000002,1.0,7.8500000000000005,5,1.57,6.708629136674859,63.484903111396235,4.969528407266695,1.34995,73.33900725063383,0.86564
A25,14.05,0.5900004506111145,6.3500000000000005,3,2.11667,6.959908468681469,52.97771445296654,6.0910345583545915,1.14265,23.54295401308103,2.25026
A28,11.3,0.6900008320808411,1.2000000000000002,1,1.2,17.1429443359375,228.57943870386674,12.5030517578125,1.3711,133.39752770283005,1.71352
C01,21.950000000000003,1.0,7.45,2,3.725,17.029145944613617,269.8111053190602,14.853312174479166,1.14649,180.89353331136257,1.49155
C03,16.6,0.870001494884491,3.7,2,1.85,17.674278522359913,299.8068934829625,17.6056599167158,1.0039,235.09976500875064,1.27523
C04,14.0,1.0,1.2000000000000002,1,1.2,18.5272515088992,204.939777542348,7.717105320521763,2.4008,184.8278070733783,1.10881
C05,29.35,1.0,14.8,6,2.46667,9.876586695689848,245.02687695069653,14.782320658365885,0.66814,181.06611026236322,1.35325
C07,23.3,0.7550010681152344,4.9,2,2.45,4.620723169655341,37.351445250561525,7.2762298583984375,0.63504,31.560561261040732,1.18348
C08,20.900000000000002,0.675000786781311,12.350000000000001,5,2.47,5.838370911720718,78.90155848628558,5.6941669170673075,1.02532,62.25405272687427,1.26741
C09,11.15,0.6800007820129395,2.1,1,2.1,18.056467831406962,290.08440533985697,16.449092741935484,1.09772,193.97148732815012,1.4955
C10,15.4,0.5550003051757812,8.25,4,2.0625,11.701845175713197,339.46772540864407,13.59769306485615,0.86058,221.65761431168883,1.5315
C11,24.150000000000002,1.0,8.05,4,2.0125,12.674352240733144,251.5579489645238,10.771340110085227,1.17667,85.6648819585039,2.93654
C12,18.0,0.6550006866455078,6.9,1,6.9,11.07781762475366,123.69377287166607,11.778774919181034,0.94049,129.29910737108406,0.95665
C15,20.200000000000003,0.5450002551078796,11.700000000000001,5,2.34,4.808594711183563,70.17894949132582,6.262288907679116,0.76787,52.48521755656154,1.33712
C17,22.25,1.0,6.4,3,2.13333,7.062964038314107,72.59241692593139,11.15075473127694,0.63341,111.20688086460108,0.65277
C18,19.400000000000002,0.9700018763542175,4.05,3,1.35,6.238322050675102,34.86321967458078,11.01657044653799,0.56627,43.65201552679725,0.79866
C20,19.650000000000002,0.765001118183136,7.25,4,1.8125,11.604972220755911,259.50939214501403,8.958978762571839,1.29535,129.12809388197718,2.00971
C21,25.900000000000002,0.9500018358230591,10.450000000000001,5,2.09,7.690313177874186,108.3499107811128,6.210190909249442,1.23834,67.56697190176945,1.60359
C24,12.65,0.6800007820129395,0.0,0,0.0,10.07828083444149,111.47354092461822,8.588893724524457,1.17341,137.9510337663961,0.80807
C26,22.0,0.5700003504753113,11.9,3,3.96667,5.467635701990012,113.99541952895737,6.414225651667668,0.85242,101.05461136276587,1.12806
C27,21.150000000000002,0.5600003004074097,13.05,5,2.61,7.828914694590111,126.581924692499,12.024808443509615,0.65106,112.25018712029292,1.12768
C30,25.5,0.6450006365776062,14.3,3,4.76667,8.996442643003892,131.33658152452276,7.275912198153409,1.23647,132.40690352881424,0.99192
C35,37.7,0.7250009775161743,23.55,2,11.775,2.735900049624236,31.689578631296566,6.115347055288462,0.44738,25.784396952183897,1.22902
C36,24.35,0.9500018358230591,9.05,4,2.2625,7.194592131286108,101.80628925418726,14.955217633928571,0.48108,105.25007438759843,0.96728
C38,14.4,0.6050004959106445,3.0,1,3.0,9.801033421566611,125.5088316825789,5.513532922623005,1.77763,50.74924496540493,2.47312
C41,27.35,0.8250013589859009,12.350000000000001,5,2.47,8.047428404885617,134.46645330875438,4.911012811175848,1.63865,47.748734448960455,2.81613
C47,16.0,0.6900008320808411,5.45,3,1.81667,12.415711145437262,230.69673300788952,16.896388841711957,0.73481,177.85766780304448,1.29709
