playerID,allCount,posCount,neuCount,negCount,allTime,posTime,neuTime,negTime,time,process,stopTime,stopCount,stopMeanTime,mean,var,standardMean,meanRate,standardVar,varRate,1-4-value,1-4-time,1-1-value,1-1-time,2-2-value,2-2-time,3-1-value,3-1-time,3-5-value,3-5-time,3-6-value,3-6-time,3-7-value,3-7-time,3-8-value,3-8-time,3-9-value,3-9-time,4-1-value,4-1-time,4-2-value,4-2-time,4-5-value,4-5-time,4-6-value,4-6-time,4-7-value,4-7-time,5-1-value,5-1-time,5-4-value,5-4-time,5-5-value,5-5-time,5-7-value,5-7-time,5-6-value,5-6-time,5-8-value,5-8-time,5-22-value,5-22-time,5-32-value,5-32-time,5-31-value,5-31-time,5-23-value,5-23-time,5-25-value,5-25-time,5-26-value,5-26-time,5-27-value,5-27-time,5-28-value,5-28-time,5-34-value,5-34-time,5-36-value,5-36-time,5-37-value,5-37-time,5-38-value,5-38-time,5-39-value,5-39-time,5-40-value,5-40-time,6-1-value,6-1-time,6-2-value,6-2-time,6-3-value,6-3-time,3-3-value,3-3-time,3-11-value,3-11-time,3-13-value,3-13-time,3-16-value,3-16-time,3-18-value,3-18-time,6-6-value,6-6-time,5-29-value,5-29-time,5-30-value,5-30-time,5-24-value,5-24-time,5-9-value,5-9-time,5-11-value,5-11-time,5-15-value,5-15-time,5-18-value,5-18-time,5-19-value,5-19-time,5-20-value,5-20-time,6-7-value,6-7-time,6-8-value,6-8-time,6-9-value,6-9-time,3-17-value,3-17-time,5-16-value,5-16-time,5-13-value,5-13-time
A13,33,0.63636,0.15152,0.21212,222.661,0.54562,0.22023,0.23415,12.45,0.525000215,3.7,1,3.7,15.64531599,227.05935,15.48676924,1.01024,141.0774025,1.60947,1,6.295,1,3.778,-1,5.928,-1,5.967,1,7.098,1,5.535,1,4.809,1,4.779,1,4.525,1,4.78,1,4.189,-1,10.217,-1,7.182,1,6.297,1,4.571,0,9.372,-1,10.339,-1,4.865,1,4.307,,,,,,,,,,,,,,,,,,,0,7.716,0,6.868,1,6.309,1,11.03,1,6.249,0,12.77,1,3.932,1,3.846,1,10.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,45,0.51111,0.26667,0.22222,218.072,0.50645,0.26681,0.22675,21.7,1,6.15,1,6.15,11.13342481,96.50743811,7.992991912,1.3929,81.48250528,1.18439,-1,4.762,1,6.062,1,7.617,1,4.973,,,1,3.943,-1,8.602,,,,,1,3.879,1,4.317,-1,7.977,-1,5.395,1,3.453,1,3.455,0,3.357,-1,3.357,1,2.868,-1,3.928,0,7.074,,,,,,,,,,,,,0,4.676,-1,4.587,0,5.053,0,4.265,0,5.017,1,8.501,0,4.21,1,3.865,1,5.242,1,4.197,1,5.788,1,3.375,1,5.805,1,4.323,-1,4.645,-1,3.185,,,,,,,,,1,7.053,,,-1,3.009,0,4.795,0,5.023,,,,,,,,,,,,,,
A17,39,0.53846,0.23077,0.23077,201.365,0.51688,0.2631,0.22002,14.6,0.55000031,4.35,2,2.175,8.723309835,121.4947029,13.39554359,0.65121,188.9036616,0.64316,1,6.02,-1,4.909,-1,6.488,1,3.133,,,-1,5.161,1,4.195,1,4.073,1,4.943,1,4.474,1,3.309,-1,5.73,-1,4.262,1,4.708,1,4.72,0,5.92,1,3.953,,,-1,3.973,0,5.434,,,,,,,,,,,,,0,4.732,0,5.098,0,5.341,-1,4.542,1,6.66,0,8.341,1,4.432,0,7.674,1,6.573,1,4.887,1,9.715,1,3.038,,,,,,,,,,,,,,,,,0,5.887,,,,,-1,4.086,,,,,,,,,,,,,,,,
A20,44,0.31818,0.25,0.43182,237.439,0.2793,0.26185,0.45885,23.15,1,7.85,5,1.57,6.708629137,63.48490311,4.969528407,1.34995,73.33900725,0.86564,1,4.07,1,3.827,1,6.963,-1,8.564,-1,4.614,1,4.013,1,4.738,-1,5.422,,,-1,7.268,,,-1,8.31,0,4.144,-1,6.275,1,4.389,-1,4.763,,,,,,,-1,6.53,-1,4.511,,,-1,3.964,-1,6.254,-1,3.851,0,4.464,-1,6.279,-1,5.147,0,6.863,0,7.6,0,7.687,0,7.298,0,4.904,1,8.752,1,3.708,1,3.998,0,7.525,,,1,5.331,1,4.839,-1,5.281,-1,3.932,,,0,3.326,-1,3.793,,,,,,,,,,,,,,,,,,,,,,,,,,
A22,36,0.47222,0.22222,0.30556,218.177,0.468,0.27929,0.25271,26.85,0.725000978,16.65,4,4.1625,6.564383486,136.9957403,6.50743757,1.00875,72.28656425,1.89518,-1,6.992,-1,5.734,-1,5.11,-1,5.985,1,6.252,-1,4.987,1,5.064,1,4.208,1,5.825,1,5.773,1,4.066,-1,5.168,-1,4.992,1,6.468,-1,4.266,0,7.408,-1,3.654,1,4.833,1,5.897,,,,,,,,,,,,,,,,,,,0,9.74,0,4.83,0,11.95,0,5.554,0,8.297,1,7.205,-1,4.531,1,5.085,0,7.996,,,,,,,,,,,1,6.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A23,45,0.53333,0.15556,0.31111,420.075,0.57247,0.14853,0.279,52.55,0.525000215,39.6,8,4.95,1.559012277,12.46002467,5.81159219,0.26826,42.43906917,0.2936,1,7.087,-1,7.241,-1,16.701,1,4.351,,,1,7.001,1,18.016,-1,11.259,,,1,16.716,1,3.272,-1,5.374,-1,7.044,-1,7.42,1,3.737,0,6.618,-1,4.021,1,5.709,-1,16.936,-1,5.187,0,5.798,-1,4.104,0,8.101,1,5.497,,,,,0,8.108,1,17.403,0,11.733,1,16.17,1,19.292,1,10.884,0,10.241,1,4.299,1,11.374,-1,10.906,1,12.58,1,8.714,1,14.509,1,9.379,-1,11.912,-1,5.076,,,,,,,-1,4.021,,,,,,,,,,,,,,,,,,,,,,,,
A24,46,0.47826,0.21739,0.30435,343.304,0.45511,0.25722,0.28767,14.4,0.940001786,1.45,1,1.45,20.04681561,314.7450143,9.648467033,2.07772,98.47295729,3.19626,1,6.019,-1,5.576,-1,8.05,1,5.824,,,1,5.305,-1,11.875,,,,,-1,5.036,,,-1,6.514,-1,5.892,1,7.261,1,3.844,0,18.182,-1,5.675,1,5.285,-1,6.863,0,5.177,,,,,,,,,,,,,0,8.73,-1,5.553,0,11.761,0,12.362,1,9.548,1,12.009,1,12.006,1,15.644,-1,10.066,1,7.152,1,10.549,1,3.058,1,5.62,1,4.923,-1,6.076,-1,4.17,1,3.911,,,,,,,1,9.341,,,-1,11.482,0,5.253,0,5.952,,,,,,,,,,,,,,
A25,46,0.26087,0.23913,0.5,316.993,0.26896,0.18519,0.54585,14.05,0.590000451,6.35,3,2.11667,6.959908469,52.97771445,6.091034558,1.14265,23.54295401,2.25026,-1,5.534,1,4.643,-1,4.634,-1,4.167,-1,2.838,1,6.866,-1,7.035,,,,,-1,15.03,,,-1,4.884,-1,4.622,1,12.312,1,4.289,0,2.977,-1,11.819,-1,3.487,-1,8.3,-1,25.422,-1,10.751,,,0,4.86,-1,4.164,0,3.545,1,6.504,-1,7.567,0,6.041,-1,7.805,-1,6.073,0,7.388,0,7.341,1,15.349,0,5.524,-1,8.708,-1,3.964,0,6.108,,,1,6.387,1,7.808,-1,7.785,-1,3.428,1,4.154,0,3.845,1,6.575,,,,,,,,,,,,,,,,,,,,,,,,,,
A28,32,0.6875,0.15625,0.15625,217.454,0.66329,0.20382,0.13289,11.3,0.690000832,1.2,1,1.2,17.14294434,228.5794387,12.50305176,1.3711,133.3975277,1.71352,1,4.4,1,9.109,1,13.058,1,2.524,,,1,5.706,1,8.309,1,16.3,1,4.548,1,4.972,1,3.181,-1,9.126,-1,6.902,1,6.265,1,5.607,0,8.84,1,2.76,,,1,7.496,,,,,,,,,,,,,,,,,,,0,9.429,-1,4.198,0,11.124,1,5.987,-1,4.998,0,8.474,1,3.666,-1,3.673,1,9.91,1,2.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01,43,0.34884,0.30233,0.34884,252.59,0.32547,0.32972,0.34481,21.95,1,7.45,2,3.725,17.02914594,269.8111053,14.85331217,1.14649,180.8935333,1.49155,1,11.065,1,4.178,-1,13.659,1,4.497,,,-1,4.302,-1,5.976,,,,,1,4.812,1,3.809,-1,8.49,-1,4.093,1,6.817,1,7.572,1,7.963,1,3.584,,,-1,5.479,0,5.408,,,,,,,,,,,,,0,6.42,0,5.894,0,6.6,-1,4.075,0,7.541,0,10.153,0,5.803,0,5.409,-1,7.109,-1,4.667,1,7.802,-1,3.89,1,5.028,-1,4.921,-1,5.299,-1,3.584,1,3.489,,,,,,,0,7.542,,,,,0,6.818,-1,5.848,0,4.979,,,,,,,,,,,,
C02,47,0.25532,0.19149,0.55319,316.678,0.28523,0.18065,0.53412,13.9,0.585000396,3.1,2,1.55,9.419325199,122.5661915,12.77039645,0.73759,147.2858205,0.83217,-1,11.596,1,5.058,-1,5.906,-1,5.065,-1,4.417,-1,4.767,-1,6.477,,,,,1,9.913,1,5.179,-1,6.667,0,4.266,-1,12.749,1,4.249,-1,6.453,,,,,,,-1,12.304,-1,5.862,,,-1,5.304,-1,3.797,-1,3.476,0,5.73,-1,7.019,-1,7.886,1,10.594,1,11.184,1,13.107,0,8.26,0,7.298,1,8.8,-1,6.11,-1,7.043,0,6.212,,,-1,8.209,-1,5.279,-1,5.774,-1,4.345,-1,4.731,0,4.079,-1,5.578,,,,,,,,,,,,,,,-1,4.22,0,5.996,1,4.909,,,,,,
C03,38,0.63158,0.18421,0.18421,299.915,0.60742,0.23265,0.15994,16.6,0.870001495,3.7,2,1.85,17.67427852,299.8068935,17.60565992,1.0039,235.099765,1.27523,-1,5.244,1,4.78,-1,7.59,1,2.729,,,1,4.448,1,9.203,-1,5.767,,,1,4.502,1,3.318,-1,5.555,-1,11.658,1,5.041,-1,6.441,0,7.953,1,13.25,,,1,17.413,,,,,,,,,,,,,,,,,,,0,13.894,0,5.775,0,10.892,0,18.06,1,4.936,1,9.041,1,11.204,1,7.846,1,7.378,1,2.805,1,14.169,1,5.41,1,5.696,1,4.224,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.687,,,,
C04,39,0.53846,0.28205,0.17949,248.855,0.47238,0.28878,0.23885,14,1,1.2,1,1.2,18.52725151,204.9397775,7.717105321,2.4008,184.8278071,1.10881,1,7.154,1,4.618,-1,12.19,-1,3.265,1,6.798,1,4.693,1,3.449,1,5.221,1,8.231,1,3.701,1,3.176,1,5.108,,,,,1,4.011,0,5.474,1,5.806,,,-1,10.583,0,8.829,,,,,,,,,,,,,0,4.454,0,5.386,0,13.783,0,5.118,1,11.533,1,10.195,0,7.3,0,7.175,-1,4.621,1,3.664,1,6.699,,,,,,,,,,,-1,7.442,,,,,,,-1,17.872,,,,,,,,,,,-1,3.465,0,4.507,1,5.355,,,0,4.43,,
C05,29,0.75862,0.13793,0.10345,163.229,0.70305,0.19563,0.10132,29.35,1,14.8,6,2.46667,9.876586696,245.026877,14.78232066,0.66814,181.0661103,1.35325,1,7.821,1,3.955,-1,5.141,1,4.056,,,1,3.993,1,3.517,1,4.622,1,4.57,1,3.854,1,6.237,1,7.057,,,,,1,4.654,1,7.073,1,4.365,,,1,4.964,,,,,,,,,,,,,,,,,,,-1,7.641,1,4.507,0,10.719,1,5.851,0,6.132,1,13.162,1,3.904,-1,3.757,0,8.918,1,2.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C06,36,0.41667,0.33333,0.25,249.589,0.39371,0.33777,0.26853,12.3,0.920001686,0,0,0,20.29163443,213.8246136,4.889439763,4.15009,63.28723627,3.37864,1,5.823,1,4.484,-1,8.222,1,2.547,,,-1,4.035,1,10.826,1,12.662,1,5.408,1,7.695,-1,8.089,-1,6.768,-1,5.978,1,5.184,1,4.143,-1,4.097,,,,,,,0,5.152,,,,,,,,,,,,,0,9.986,0,5.906,0,6.009,0,5.462,0,12.361,1,12.084,0,3.997,0,4.832,-1,8.287,-1,7.351,-1,14.194,1,3.103,,,,,,,,,1,9.13,,,,,,,0,8.575,,,,,0,8.449,0,5.367,,,,,,,,,,,,,,
C07,36,0.55556,0.16667,0.27778,218.617,0.60901,0.17388,0.21711,23.3,0.755001068,4.9,2,2.45,4.62072317,37.35144525,7.276229858,0.63504,31.56056126,1.18348,-1,5.931,1,4.379,-1,5.262,-1,4.789,-1,3.633,-1,5.584,1,5.057,1,4.919,1,5.69,1,7.185,1,8.914,1,15.236,,,,,-1,6.278,1,6.103,-1,3.41,1,5.398,-1,4.408,0,8.793,,,,,,,,,,,,,,,,,0,6.175,0,4.187,1,9.684,0,8.914,0,3.775,1,4.544,1,7.094,1,3.965,1,8.819,,,,,,,,,,,,,,,,,,,1,5.235,1,4.178,,,,,,,,,,,,,,,,,,,,
C08,42,0.5,0.2619,0.2381,233.011,0.50283,0.29548,0.2017,20.9,0.675000787,12.35,5,2.47,5.838370912,78.90155849,5.694166917,1.02532,62.25405273,1.26741,-1,4.844,1,3.732,-1,5.291,-1,4.026,-1,3.175,1,5.262,1,4.814,1,4.783,1,4.939,1,4.383,1,3.373,1,7.578,,,,,1,10.884,1,3.498,1,3.765,,,-1,7.419,-1,4.709,0,7.531,0,6.541,0,4.453,1,5.297,,,,,0,5.953,0,6.708,0,8.841,0,5.663,1,8.831,0,7.974,0,4.113,1,4.998,-1,4.42,1,1.757,1,5.87,,,,,,,,,,,-1,2.042,,,,,-1,6.741,,,,,,,,,,,,,-1,4.331,0,3.864,1,11.107,,,,,,
C09,40,0.625,0.175,0.2,271.436,0.67511,0.13799,0.1869,11.15,0.680000782,2.1,1,2.1,18.05646783,290.0844053,16.44909274,1.09772,193.9714873,1.4955,1,10.707,1,3.663,-1,6.727,-1,7.124,1,5.238,1,6.454,-1,5.048,,,,,1,4.417,1,12.053,1,5.98,,,,,1,3.309,0,4.319,1,2.966,,,-1,6.496,0,4.419,,,,,,,,,,,,,1,5.697,,,1,12.96,0,8.003,1,11.484,1,9.485,1,6.971,1,5.469,-1,5.553,-1,6.866,1,17.241,,,1,5.178,1,4.754,1,4.692,-1,4.335,1,3.844,,,,,,,0,7.399,,,,,0,3.72,0,5.086,,,,,,,,,-1,8.582,,,,
C10,37,0.54054,0.16216,0.2973,209.823,0.52256,0.19671,0.28073,15.4,0.555000305,8.25,4,2.0625,11.70184518,339.4677254,13.59769306,0.86058,221.6576143,1.5315,-1,6.59,1,9.267,-1,5.117,-1,4.551,-1,3.062,1,2.116,1,4.741,1,4.973,1,5.344,1,4.92,1,5.091,-1,5.604,-1,5.282,1,6.992,1,5.531,1,3.445,1,4.876,,,-1,4.569,0,5.932,,,,,,,,,,,,,,,,,0,6.268,-1,5.93,0,6.622,0,10.746,0,6.308,1,9.298,1,3.91,1,4.694,1,6.466,,,,,,,,,,,,,,,,,,,1,4.838,1,3.263,,,,,,,,,,,,,,,,,,,,
C11,43,0.32558,0.30233,0.37209,271.907,0.33747,0.34048,0.32205,24.15,1,8.05,4,2.0125,12.67435224,251.557949,10.77134011,1.17667,85.66488196,2.93654,1,25.61,1,3.27,-1,5.242,1,4.147,,,-1,4.425,1,6.682,-1,7.783,,,-1,4.757,,,-1,8.796,-1,6.616,1,6.562,-1,4.543,-1,5.997,,,,,,,0,6.708,,,,,,,,,,,,,0,4.832,0,5.797,0,6.55,-1,4.342,0,7.531,0,12.384,0,8.709,0,6.997,-1,5.688,1,4.579,1,7.425,1,3.615,-1,6.035,1,5.56,-1,6.97,-1,3.737,1,3.71,,,,,,,1,7.054,-1,3.31,-1,4.398,0,4.588,0,14.903,,,,,,,,,,,,,0,4.953
C12,41,0.19512,0.29268,0.5122,249.783,0.21389,0.3053,0.48081,18,0.655000687,6.9,1,6.9,11.07781762,123.6937729,11.77877492,0.94049,129.2991074,0.95665,-1,5.756,1,5.115,-1,7.719,-1,4.471,-1,3.15,1,8.042,-1,7.211,,,,,1,5.862,1,3.847,-1,7.742,-1,5.209,-1,5.402,-1,5.286,-1,3.642,,,,,,,0,7.708,,,,,,,,,,,,,-1,4.665,0,4.93,0,8.44,-1,4.631,0,9.297,0,6.72,0,4.72,1,8.619,-1,5.489,-1,4.264,0,7.11,,,1,6.282,-1,7.748,-1,4.062,-1,3.681,1,12.172,,,,,,,0,7.665,,,,,0,3.653,-1,10.018,0,6.063,,,,,,,,,,,,
C13,46,0.28261,0.21739,0.5,209.799,0.26697,0.22399,0.50905,22.15,1,2.3,2,1.15,10.6395964,212.0410029,21.23531494,0.50103,287.5346474,0.73745,1,6.539,1,5.488,1,5.888,-1,3.418,1,3.192,1,4.198,-1,4.215,,,,,1,4.42,-1,3.608,-1,6.953,-1,3.808,-1,5.454,1,3.478,-1,6.341,,,,,,,-1,3.953,0,6.365,0,3.509,-1,4.564,1,3.609,,,,,-1,3.824,-1,3.542,-1,7.273,0,3.433,-1,6.175,0,6.074,0,3.343,0,4.476,-1,5.444,1,3.466,0,3.48,,,1,5.166,-1,4.462,-1,5.031,-1,3.681,-1,4.222,,,,,-1,2.817,,,,,,,,,,,,,-1,3.532,0,7.062,0,4.441,,,,,,
C15,40,0.45,0.2,0.35,293.263,0.40292,0.24036,0.35672,20.2,0.545000255,11.7,5,2.34,4.808594711,70.17894949,6.262288908,0.76787,52.48521756,1.33712,1,15.86,1,4.086,-1,4.923,-1,5.296,-1,9.611,1,5.984,1,5.85,1,17.746,1,5.25,1,4.287,1,3.062,-1,5.699,-1,3.88,-1,7.927,1,5.242,-1,6.486,,,,,,,-1,4.33,0,13.95,0,3.531,0,5.276,-1,4.153,0,4.487,1,3.898,0,6.996,-1,7.393,-1,9.8,0,4.33,0,22.702,1,7.286,1,6.371,1,11.084,-1,12.84,1,5.334,1,6.659,,,,,,,,,,,1,3.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16,38,0.68421,0.10526,0.21053,206.355,0.66174,0.10316,0.2351,17.8,1,4.8,2,2.4,18.19121814,295.0148882,17.32550173,1.04997,165.2882008,1.78485,1,7.286,1,11.864,1,5.721,1,3.065,,,-1,4.902,1,6.203,1,5.164,1,4.639,1,4.98,1,3.515,-1,8.645,-1,8.273,1,4.517,1,6.054,0,6.219,-1,3.967,1,3.82,-1,4.199,0,4.807,,,,,,,,,,,,,,,,,1,5.531,0,5.619,1,8.198,1,8.775,1,3.776,1,4.132,1,4.063,1,3.309,1,6.534,1,3.224,,,,,,,,,,,,,,,,,1,6.641,1,3.287,,,,,,,,,,,,,,,,,,,,
C17,44,0.52273,0.25,0.22727,236.729,0.48874,0.30317,0.20809,22.25,1,6.4,3,2.13333,7.062964038,72.59241693,11.15075473,0.63341,111.2068809,0.65277,1,5.91,-1,3.576,-1,6.07,1,2.872,,,1,4.532,-1,5.768,,,,,-1,5.042,,,1,5.492,,,,,-1,4.776,0,3.743,1,3.148,,,-1,4.52,0,4.009,,,,,,,,,,,,,-1,5.64,-1,6.288,0,7.764,0,8.848,0,7.93,0,10.374,1,5.297,1,5.631,1,5.909,1,3.644,1,7.456,1,2.705,1,4.888,1,4.573,1,4.729,1,5.721,,,,,,,,,1,5.487,,,-1,3.932,0,5.874,0,5.587,,,,,,,,,1,11.397,,,,
