playerID,1-4-value,1-4-time,1-1-value,1-1-time,2-2-value,2-2-time,3-1-value,3-1-time,3-5-value,3-5-time,3-6-value,3-6-time,3-7-value,3-7-time,3-8-value,3-8-time,3-9-value,3-9-time,4-1-value,4-1-time,4-2-value,4-2-time,4-5-value,4-5-time,4-6-value,4-6-time,4-7-value,4-7-time,5-1-value,5-1-time,5-4-value,5-4-time,5-5-value,5-5-time,5-7-value,5-7-time,5-6-value,5-6-time,5-8-value,5-8-time,5-22-value,5-22-time,5-32-value,5-32-time,5-31-value,5-31-time,5-23-value,5-23-time,5-25-value,5-25-time,5-26-value,5-26-time,5-27-value,5-27-time,5-28-value,5-28-time,5-34-value,5-34-time,5-36-value,5-36-time,5-37-value,5-37-time,5-38-value,5-38-time,5-39-value,5-39-time,5-40-value,5-40-time,6-1-value,6-1-time,6-2-value,6-2-time,6-3-value,6-3-time,5-35-value,5-35-time,3-3-value,3-3-time,3-11-value,3-11-time,3-13-value,3-13-time,3-16-value,3-16-time,3-18-value,3-18-time,6-6-value,6-6-time,5-29-value,5-29-time,5-30-value,5-30-time,5-9-value,5-9-time,5-11-value,5-11-time,5-18-value,5-18-time,5-19-value,5-19-time,5-20-value,5-20-time,3-17-value,3-17-time,5-16-value,5-16-time,6-7-value,6-7-time,6-8-value,6-8-time,6-9-value,6-9-time,5-24-value,5-24-time,5-13-value,5-13-time,5-15-value,5-15-time
A20,1,4.07,1,3.827,1,6.963,-1,8.564,-1.0,4.614,1,4.013,1,4.738,-1.0,5.422,,,-1,7.268,,,-1,8.31,0.0,4.144,-1.0,6.275,1,4.389,-1,4.763,,,,,,,-1.0,6.53,-1.0,4.511,,,-1.0,3.964,-1.0,6.254,-1.0,3.851,0.0,4.464,-1.0,6.279,-1.0,5.147,0.0,6.863,0,7.6,0,7.687,0,7.298,0,4.904,1,8.752,1,3.708,1,3.998,0,7.525,,,,,1.0,5.331,1.0,4.839,-1.0,5.281,-1.0,3.932,,,0.0,3.326,-1.0,3.793,,,,,,,,,,,,,,,,,,,,,,,,,,
A25,-1,5.534,1,4.643,-1,4.634,-1,4.167,-1.0,2.838,1,6.866,-1,7.035,,,,,-1,15.03,,,-1,4.884,-1.0,4.622,1.0,12.312,1,4.289,0,2.977,-1.0,11.819,-1.0,3.487,-1.0,8.3,-1.0,25.422,-1.0,10.751,,,0.0,4.86,-1.0,4.164,0.0,3.545,1.0,6.504,-1.0,7.567,0.0,6.041,-1.0,7.805,-1,6.073,0,7.388,0,7.341,1,15.349,0,5.524,-1,8.708,-1,3.964,0,6.108,,,,,1.0,6.387,1.0,7.808,-1.0,7.785,-1.0,3.428,1.0,4.154,0.0,3.845,1.0,6.575,,,,,,,,,,,,,,,,,,,,,,,,,,
A28,1,4.4,1,9.109,1,13.058,1,2.524,,,1,5.706,1,8.309,1.0,16.3,1.0,4.548,1,4.972,1.0,3.181,-1,9.126,-1.0,6.902,1.0,6.265,1,5.607,0,8.84,1.0,2.76,,,1.0,7.496,,,,,,,,,,,,,,,,,,,,,-1,4.198,0,11.124,1,5.987,-1,4.998,0,8.474,1,3.666,-1,3.673,1,9.91,0.0,9.429,1.0,2.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01,1,11.065,1,4.178,-1,13.659,1,4.497,,,-1,4.302,-1,5.976,,,,,1,4.812,1.0,3.809,-1,8.49,-1.0,4.093,1.0,6.817,1,7.572,1,7.963,1.0,3.584,,,-1.0,5.479,0.0,5.408,,,,,,,,,,,,,0.0,6.42,0.0,5.894,0.0,6.6,-1,4.075,0,7.541,0,10.153,0,5.803,0,5.409,-1,7.109,-1,4.667,1,7.802,,,-1.0,3.89,1.0,5.028,-1.0,4.921,-1.0,5.299,-1.0,3.584,1.0,3.489,,,,,0.0,7.542,,,0.0,6.818,-1.0,5.848,0.0,4.979,,,,,,,,,,,,,,,,
C03,-1,5.244,1,4.78,-1,7.59,1,2.729,,,1,4.448,1,9.203,-1.0,5.767,,,1,4.502,1.0,3.318,-1,5.555,-1.0,11.658,1.0,5.041,-1,6.441,0,7.953,1.0,13.25,,,1.0,17.413,,,,,,,,,,,,,,,,,,,,,0,5.775,0,10.892,0,18.06,1,4.936,1,9.041,1,11.204,1,7.846,1,7.378,0.0,13.894,1.0,2.805,1.0,14.169,1.0,5.41,1.0,5.696,1.0,4.224,,,,,,,,,,,,,,,,,1.0,11.687,,,,,,,,,,,,,,
C04,1,7.154,1,4.618,-1,12.19,-1,3.265,1.0,6.798,1,4.693,1,3.449,1.0,5.221,1.0,8.231,1,3.701,1.0,3.176,1,5.108,,,,,1,4.011,0,5.474,1.0,5.806,,,-1.0,10.583,0.0,8.829,,,,,,,,,,,,,0.0,4.454,0.0,5.386,0.0,13.783,0,5.118,1,11.533,1,10.195,0,7.3,0,7.175,-1,4.621,1,3.664,1,6.699,,,,,,,,,,,,,-1.0,7.442,,,,,-1.0,17.872,,,,,,,,,,,0.0,4.43,-1.0,3.465,0.0,4.507,1.0,5.355,,,,,,
C05,1,7.821,1,3.955,-1,5.141,1,4.056,,,1,3.993,1,3.517,1.0,4.622,1.0,4.57,1,3.854,1.0,6.237,1,7.057,,,,,1,4.654,1,7.073,1.0,4.365,,,1.0,4.964,,,,,,,,,,,,,,,,,,,,,1,4.507,0,10.719,1,5.851,0,6.132,1,13.162,1,3.904,-1,3.757,0,8.918,-1.0,7.641,1.0,2.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C07,-1,5.931,1,4.379,-1,5.262,-1,4.789,-1.0,3.633,-1,5.584,1,5.057,1.0,4.919,1.0,5.69,1,7.185,1.0,8.914,1,15.236,,,,,-1,6.278,1,6.103,-1.0,3.41,1.0,5.398,-1.0,4.408,0.0,8.793,,,,,,,,,,,,,,,,,,,0,4.187,1,9.684,0,8.914,0,3.775,1,4.544,1,7.094,1,3.965,1,8.819,0.0,6.175,,,,,,,,,,,,,,,,,1.0,5.235,1.0,4.178,,,,,,,,,,,,,,,,,,,,,,
C08,-1,4.844,1,3.732,-1,5.291,-1,4.026,-1.0,3.175,1,5.262,1,4.814,1.0,4.783,1.0,4.939,1,4.383,1.0,3.373,1,7.578,,,,,1,10.884,1,3.498,1.0,3.765,,,-1.0,7.419,-1.0,4.709,0.0,7.531,0.0,6.541,0.0,4.453,1.0,5.297,,,,,0.0,5.953,0.0,6.708,0.0,8.841,0,5.663,1,8.831,0,7.974,0,4.113,1,4.998,-1,4.42,1,1.757,1,5.87,,,,,,,,,,,,,-1.0,2.042,,,,,,,,,,,,,,,,,,,-1.0,4.331,0.0,3.864,1.0,11.107,-1.0,6.741,,,,
C09,1,10.707,1,3.663,-1,6.727,-1,7.124,1.0,5.238,1,6.454,-1,5.048,,,,,1,4.417,1.0,12.053,1,5.98,,,,,1,3.309,0,4.319,1.0,2.966,,,-1.0,6.496,0.0,4.419,,,,,,,,,,,,,1.0,5.697,,,1.0,12.96,0,8.003,1,11.484,1,9.485,1,6.971,1,5.469,-1,5.553,-1,6.866,1,17.241,,,,,1.0,5.178,1.0,4.754,1.0,4.692,-1.0,4.335,1.0,3.844,,,,,0.0,7.399,,,0.0,3.72,0.0,5.086,,,-1.0,8.582,,,,,,,,,,,,,,
