playerID,allCount,posCount,neuCount,negCount,allTime,posTime,neuTime,negTime,focusTime3,focusEnvTime3,focusPeoTime3,focusUITime3,jumpCount3,EnvPeo3,EnvUI3,PeoEnv3,PeoUI3,UIEnv3,UIPeo3,focusTime4,focusEnvTime4,focusPeoTime4,focusUITime4,jumpCount4,EnvPeo4,EnvUI4,PeoEnv4,PeoUI4,UIEnv4,UIPeo4,focusTime5,focusEnvTime5,focusPeoTime5,focusUITime5,jumpCount5,EnvPeo5,EnvUI5,PeoEnv5,PeoUI5,UIEnv5,UIPeo5,time,process,stopTime,stopCount,stopMeanTime,mean,var,standardMean,meanRate,standardVar,varRate,level
A16,45,0.51111,0.26667,0.22222,218.072,0.50645,0.26681,0.22675,7502,0.487203412,0.156225007,0.356571581,677,0.22895,0.24815,0.21713,0.02954,0.25849,0.01773,8904,0.320867026,0.023809524,0.65532345,468,0.06197,0.43803,0.06197,0,0.43803,0,2630,0.280608365,0.00418251,0.715209125,126,0.04762,0.45238,0.03968,0.00794,0.45238,0,21.7,1,6.15,1,6.15,11.13342481,96.50743811,7.992991912,1.3929,81.48250528,1.18439,2
A17,39,0.53846,0.23077,0.23077,201.365,0.51688,0.2631,0.22002,6732,0.532234106,0.09610814,0.371657754,532,0.13158,0.3515,0.12782,0.0188,0.35338,0.01692,8902,0.364412492,0.025275219,0.610312289,500,0.03,0.468,0.028,0.004,0.468,0.002,3427,0.347826087,0.025094835,0.627079078,179,0.02793,0.44693,0.03352,0.02235,0.44134,0.02793,14.6,0.55000031,4.35,2,2.175,8.723309835,121.4947029,13.39554359,0.65121,188.9036616,0.64316,3
A20,44,0.31818,0.25,0.43182,237.439,0.2793,0.26185,0.45885,7285,0.594097461,0.048455731,0.357446809,652,0.12883,0.35123,0.12423,0.02301,0.35429,0.0184,8557,0.34229286,0.00654435,0.651162791,361,0.0277,0.47368,0.0277,0,0.47091,0,2968,0.282008086,0.016509434,0.70148248,173,0.02312,0.47399,0.0289,0,0.46821,0.00578,23.15,1,7.85,5,1.57,6.708629137,63.48490311,4.969528407,1.34995,73.33900725,0.86564,2
A22,36,0.47222,0.22222,0.30556,218.177,0.468,0.27929,0.25271,6983,0.444794501,0.1162824,0.438923099,756,0.16931,0.28571,0.16534,0.04762,0.28836,0.04365,7950,0.332075472,0.011320755,0.656603774,378,0.05291,0.44709,0.05026,0.00265,0.44709,0,3990,0.341102757,0.018546366,0.640350877,240,0.05417,0.44583,0.05,0.00417,0.44583,0,26.85,0.725000978,16.65,4,4.1625,6.564383486,136.9957403,6.50743757,1.00875,72.28656425,1.89518,3
A23,45,0.53333,0.15556,0.31111,420.075,0.57247,0.14853,0.279,10205,0.423027927,0.176482117,0.400489956,828,0.19686,0.25966,0.19082,0.0471,0.26449,0.04106,13388,0.219674335,0.026366896,0.753958769,395,0.02532,0.47595,0.02532,0,0.47342,0,4380,0.376484018,0.004109589,0.619406393,149,0.03356,0.46309,0.03356,0.00671,0.45638,0.00671,52.55,0.525000215,39.6,8,4.95,1.559012277,12.46002467,5.81159219,0.26826,42.43906917,0.2936,2
A24,46,0.47826,0.21739,0.30435,343.304,0.45511,0.25722,0.28767,7826,0.611934577,0.107973422,0.280092001,895,0.2,0.27151,0.19106,0.03352,0.27933,0.02458,13231,0.520897891,0.014209054,0.464893054,941,0.02763,0.46865,0.02657,0.00425,0.46971,0.00319,4667,0.446968074,0.000642811,0.552389115,273,0.00733,0.49084,0.00366,0.00366,0.49451,0,14.4,0.940001786,1.45,1,1.45,20.04681561,314.7450143,9.648467033,2.07772,98.47295729,3.19626,2
A25,46,0.26087,0.23913,0.5,316.993,0.26896,0.18519,0.54585,6792,0.468345112,0.098498233,0.433156655,510,0.20784,0.27451,0.1902,0.02745,0.2902,0.0098,10994,0.257776969,0.004547935,0.737675096,329,0.01824,0.48328,0.01824,0,0.48024,0,4385,0.245610034,0.009806157,0.744583808,139,0.02878,0.46763,0.03597,0,0.46043,0.00719,14.05,0.590000451,6.35,3,2.11667,6.959908469,52.97771445,6.091034558,1.14265,23.54295401,2.25026,2
A28,32,0.6875,0.15625,0.15625,217.454,0.66329,0.20382,0.13289,6933,0.441800087,0.139766335,0.418433579,750,0.19867,0.26533,0.17733,0.04667,0.28667,0.02533,7833,0.341376229,0.007532235,0.651091536,277,0.06859,0.41516,0.05776,0.02166,0.42599,0.01083,3208,0.28553616,0.012780549,0.701683292,152,0.04605,0.45395,0.03947,0.00658,0.45395,0,11.3,0.690000832,1.2,1,1.2,17.14294434,228.5794387,12.50305176,1.3711,133.3975277,1.71352,0
C01,43,0.34884,0.30233,0.34884,252.59,0.32547,0.32972,0.34481,7569,0.458184701,0.145990223,0.395825076,542,0.19926,0.27675,0.17528,0.0369,0.29889,0.01292,9903,0.264061396,0.009290114,0.72664849,228,0.0307,0.4693,0.03509,0,0.46053,0.00439,3738,0.180042804,0.020331728,0.799625468,115,0.06087,0.41739,0.05217,0.02609,0.42609,0.01739,21.95,1,7.45,2,3.725,17.02914594,269.8111053,14.85331217,1.14649,180.8935333,1.49155,3
C02,47,0.25532,0.19149,0.55319,316.678,0.28523,0.18065,0.53412,7709,0.480607083,0.115319756,0.404073161,612,0.22712,0.24673,0.22712,0.02614,0.2451,0.02778,10420,0.264299424,0.012092131,0.723608445,339,0.03835,0.46313,0.03835,0,0.46018,0,5694,0.248155954,0.015630488,0.736213558,202,0.07921,0.42079,0.07921,0,0.42079,0,13.9,0.585000396,3.1,2,1.55,9.419325199,122.5661915,12.77039645,0.73759,147.2858205,0.83217,3
