playerID,allCount,posCount,neuCount,negCount,allTime,posTime,neuTime,negTime,focusTime3,focusEnvTime3,focusPeoTime3,jumpCount3,EnvPeo3,PeoEnv3,PeoUI3,UIPeo3,focusTime4,focusEnvTime4,focusPeoTime4,jumpCount4,EnvPeo4,PeoEnv4,PeoUI4,UIPeo4,focusTime5,focusEnvTime5,focusPeoTime5,jumpCount5,EnvPeo5,PeoEnv5,PeoUI5,UIPeo5,time,process,stopTime,stopCount,stopMeanTime,mean,var,standardMean,meanRate,standardVar,varRate,1-4-value,1-4-time,1-1-value,1-1-time,2-2-value,2-2-time,3-1-value,3-1-time,3-5-value,3-5-time,3-6-value,3-6-time,3-7-value,3-7-time,3-8-value,3-8-time,3-9-value,3-9-time,4-1-value,4-1-time,4-2-value,4-2-time,4-5-value,4-5-time,4-6-value,4-6-time,4-7-value,4-7-time,5-1-value,5-1-time,5-4-value,5-4-time,5-5-value,5-5-time,5-7-value,5-7-time,5-6-value,5-6-time,5-8-value,5-8-time,5-22-value,5-22-time,5-32-value,5-32-time,5-31-value,5-31-time,5-23-value,5-23-time,5-25-value,5-25-time,5-26-value,5-26-time,5-27-value,5-27-time,5-28-value,5-28-time,5-34-value,5-34-time,5-36-value,5-36-time,5-37-value,5-37-time,5-38-value,5-38-time,5-39-value,5-39-time,5-40-value,5-40-time,6-1-value,6-1-time,6-2-value,6-2-time,6-3-value,6-3-time,3-3-value,3-3-time,3-11-value,3-11-time,3-13-value,3-13-time,3-16-value,3-16-time,3-18-value,3-18-time,6-6-value,6-6-time,5-29-value,5-29-time,5-30-value,5-30-time,5-24-value,5-24-time,5-9-value,5-9-time,5-11-value,5-11-time,5-15-value,5-15-time,5-18-value,5-18-time,5-19-value,5-19-time,5-20-value,5-20-time,6-7-value,6-7-time,6-8-value,6-8-time,6-9-value,6-9-time,3-17-value,3-17-time,5-16-value,5-16-time,5-13-value,5-13-time,
A13,33,0.63636,0.15152,0.21212,222.661,0.54562,0.22023,0.23415,3733,0.870613448,0.129386552,204,0.45588,0.43137,0.06863,0.04412,2682,0.986577181,0.013422819,14,0.5,0.35714,0.14286,0,791,0.931731985,0.068268015,22,0.45455,0.40909,0.09091,0.04545,12.45,0.525000215,3.7,1,3.7,15.64531599,227.05935,15.48676924,1.01024,141.0774025,1.60947,1,6.295,1,3.778,-1,5.928,-1,5.967,1,7.098,1,5.535,1,4.809,1,4.779,1,4.525,1,4.78,1,4.189,-1,10.217,-1,7.182,1,6.297,1,4.571,0,9.372,-1,10.339,-1,4.865,1,4.307,,,,,,,,,,,,,,,,,,,0,7.716,0,6.868,1,6.309,1,11.03,1,6.249,0,12.77,1,3.932,1,3.846,1,10.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,45,0.51111,0.26667,0.22222,218.072,0.50645,0.26681,0.22675,4827,0.757199088,0.242800912,334,0.46407,0.44012,0.05988,0.03593,3069,0.930922124,0.069077876,58,0.5,0.5,0,0,749,0.985313752,0.014686248,12,0.5,0.41667,0.08333,0,21.7,1,6.15,1,6.15,11.13342481,96.50743811,7.992991912,1.3929,81.48250528,1.18439,-1,4.762,1,6.062,1,7.617,1,4.973,,,1,3.943,-1,8.602,,,,,1,3.879,1,4.317,-1,7.977,-1,5.395,1,3.453,1,3.455,0,3.357,-1,3.357,1,2.868,-1,3.928,0,7.074,,,,,,,,,,,,,0,4.676,-1,4.587,0,5.053,0,4.265,0,5.017,1,8.501,0,4.21,1,3.865,1,5.242,1,4.197,1,5.788,1,3.375,1,5.805,1,4.323,-1,4.645,-1,3.185,,,,,,,,,1,7.053,,,-1,3.009,0,4.795,0,5.023,,,,,,,,,,,,,,,
A17,39,0.53846,0.23077,0.23077,201.365,0.51688,0.2631,0.22002,4230,0.847044917,0.152955083,157,0.44586,0.43312,0.06369,0.05732,3469,0.93513981,0.06486019,32,0.46875,0.4375,0.0625,0.03125,1278,0.932707355,0.067292645,20,0.25,0.3,0.2,0.25,14.6,0.55000031,4.35,2,2.175,8.723309835,121.4947029,13.39554359,0.65121,188.9036616,0.64316,1,6.02,-1,4.909,-1,6.488,1,3.133,,,-1,5.161,1,4.195,1,4.073,1,4.943,1,4.474,1,3.309,-1,5.73,-1,4.262,1,4.708,1,4.72,0,5.92,1,3.953,,,-1,3.973,0,5.434,,,,,,,,,,,,,0,4.732,0,5.098,0,5.341,-1,4.542,1,6.66,0,8.341,1,4.432,0,7.674,1,6.573,1,4.887,1,9.715,1,3.038,,,,,,,,,,,,,,,,,0,5.887,,,,,-1,4.086,,,,,,,,,,,,,,,,,
A20,44,0.31818,0.25,0.43182,237.439,0.2793,0.26185,0.45885,4681,0.924588763,0.075411237,192,0.4375,0.42188,0.07812,0.0625,2985,0.981239531,0.018760469,20,0.5,0.5,0,0,886,0.94469526,0.05530474,10,0.4,0.5,0,0.1,23.15,1,7.85,5,1.57,6.708629137,63.48490311,4.969528407,1.34995,73.33900725,0.86564,1,4.07,1,3.827,1,6.963,-1,8.564,-1,4.614,1,4.013,1,4.738,-1,5.422,,,-1,7.268,,,-1,8.31,0,4.144,-1,6.275,1,4.389,-1,4.763,,,,,,,-1,6.53,-1,4.511,,,-1,3.964,-1,6.254,-1,3.851,0,4.464,-1,6.279,-1,5.147,0,6.863,0,7.6,0,7.687,0,7.298,0,4.904,1,8.752,1,3.708,1,3.998,0,7.525,,,1,5.331,1,4.839,-1,5.281,-1,3.932,,,0,3.326,-1,3.793,,,,,,,,,,,,,,,,,,,,,,,,,,,
A22,36,0.47222,0.22222,0.30556,218.177,0.468,0.27929,0.25271,3918,0.792751404,0.207248596,322,0.39752,0.3882,0.1118,0.10248,2730,0.967032967,0.032967033,40,0.5,0.475,0.025,0,1435,0.948432056,0.051567944,26,0.5,0.46154,0.03846,0,26.85,0.725000978,16.65,4,4.1625,6.564383486,136.9957403,6.50743757,1.00875,72.28656425,1.89518,-1,6.992,-1,5.734,-1,5.11,-1,5.985,1,6.252,-1,4.987,1,5.064,1,4.208,1,5.825,1,5.773,1,4.066,-1,5.168,-1,4.992,1,6.468,-1,4.266,0,7.408,-1,3.654,1,4.833,1,5.897,,,,,,,,,,,,,,,,,,,0,9.74,0,4.83,0,11.95,0,5.554,0,8.297,1,7.205,-1,4.531,1,5.085,0,7.996,,,,,,,,,,,1,6.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A23,45,0.53333,0.15556,0.31111,420.075,0.57247,0.14853,0.279,6118,0.705622753,0.294377247,394,0.41371,0.40102,0.09898,0.08629,3294,0.892835458,0.107164542,20,0.5,0.5,0,0,1667,0.98920216,0.01079784,12,0.41667,0.41667,0.08333,0.08333,52.55,0.525000215,39.6,8,4.95,1.559012277,12.46002467,5.81159219,0.26826,42.43906917,0.2936,1,7.087,-1,7.241,-1,16.701,1,4.351,,,1,7.001,1,18.016,-1,11.259,,,1,16.716,1,3.272,-1,5.374,-1,7.044,-1,7.42,1,3.737,0,6.618,-1,4.021,1,5.709,-1,16.936,-1,5.187,0,5.798,-1,4.104,0,8.101,1,5.497,,,,,0,8.108,1,17.403,0,11.733,1,16.17,1,19.292,1,10.884,0,10.241,1,4.299,1,11.374,-1,10.906,1,12.58,1,8.714,1,14.509,1,9.379,-1,11.912,-1,5.076,,,,,,,-1,4.021,,,,,,,,,,,,,,,,,,,,,,,,,
A24,46,0.47826,0.21739,0.30435,343.304,0.45511,0.25722,0.28767,5634,0.850017749,0.149982251,402,0.44527,0.42537,0.07463,0.05473,7080,0.973446328,0.026553672,58,0.44828,0.43103,0.06897,0.05172,2089,0.998563906,0.001436094,4,0.5,0.25,0.25,0,14.4,0.940001786,1.45,1,1.45,20.04681561,314.7450143,9.648467033,2.07772,98.47295729,3.19626,1,6.019,-1,5.576,-1,8.05,1,5.824,,,1,5.305,-1,11.875,,,,,-1,5.036,,,-1,6.514,-1,5.892,1,7.261,1,3.844,0,18.182,-1,5.675,1,5.285,-1,6.863,0,5.177,,,,,,,,,,,,,0,8.73,-1,5.553,0,11.761,0,12.362,1,9.548,1,12.009,1,12.006,1,15.644,-1,10.066,1,7.152,1,10.549,1,3.058,1,5.62,1,4.923,-1,6.076,-1,4.17,1,3.911,,,,,,,1,9.341,,,-1,11.482,0,5.253,0,5.952,,,,,,,,,,,,,,,
A25,46,0.26087,0.23913,0.5,316.993,0.26896,0.18519,0.54585,3850,0.826233766,0.173766234,222,0.47748,0.43694,0.06306,0.02252,2884,0.982662968,0.017337032,12,0.5,0.5,0,0,1120,0.961607143,0.038392857,10,0.4,0.5,0,0.1,14.05,0.590000451,6.35,3,2.11667,6.959908469,52.97771445,6.091034558,1.14265,23.54295401,2.25026,-1,5.534,1,4.643,-1,4.634,-1,4.167,-1,2.838,1,6.866,-1,7.035,,,,,-1,15.03,,,-1,4.884,-1,4.622,1,12.312,1,4.289,0,2.977,-1,11.819,-1,3.487,-1,8.3,-1,25.422,-1,10.751,,,0,4.86,-1,4.164,0,3.545,1,6.504,-1,7.567,0,6.041,-1,7.805,-1,6.073,0,7.388,0,7.341,1,15.349,0,5.524,-1,8.708,-1,3.964,0,6.108,,,1,6.387,1,7.808,-1,7.785,-1,3.428,1,4.154,0,3.845,1,6.575,,,,,,,,,,,,,,,,,,,,,,,,,,,
A28,32,0.6875,0.15625,0.15625,217.454,0.66329,0.20382,0.13289,4032,0.759672619,0.240327381,336,0.44345,0.39583,0.10417,0.05655,2733,0.978412001,0.021587999,44,0.43182,0.36364,0.13636,0.06818,957,0.957157785,0.042842215,14,0.5,0.42857,0.07143,0,11.3,0.690000832,1.2,1,1.2,17.14294434,228.5794387,12.50305176,1.3711,133.3975277,1.71352,1,4.4,1,9.109,1,13.058,1,2.524,,,1,5.706,1,8.309,1,16.3,1,4.548,1,4.972,1,3.181,-1,9.126,-1,6.902,1,6.265,1,5.607,0,8.84,1,2.76,,,1,7.496,,,,,,,,,,,,,,,,,,,0,9.429,-1,4.198,0,11.124,1,5.987,-1,4.998,0,8.474,1,3.666,-1,3.673,1,9.91,1,2.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01,43,0.34884,0.30233,0.34884,252.59,0.32547,0.32972,0.34481,4573,0.758364312,0.241635688,230,0.46957,0.41304,0.08696,0.03043,2707,0.966014038,0.033985962,16,0.4375,0.5,0,0.0625,749,0.898531375,0.101468625,18,0.38889,0.33333,0.16667,0.11111,21.95,1,7.45,2,3.725,17.02914594,269.8111053,14.85331217,1.14649,180.8935333,1.49155,1,11.065,1,4.178,-1,13.659,1,4.497,,,-1,4.302,-1,5.976,,,,,1,4.812,1,3.809,-1,8.49,-1,4.093,1,6.817,1,7.572,1,7.963,1,3.584,,,-1,5.479,0,5.408,,,,,,,,,,,,,0,6.42,0,5.894,0,6.6,-1,4.075,0,7.541,0,10.153,0,5.803,0,5.409,-1,7.109,-1,4.667,1,7.802,-1,3.89,1,5.028,-1,4.921,-1,5.299,-1,3.584,1,3.489,,,,,,,0,7.542,,,,,0,6.818,-1,5.848,0,4.979,,,,,,,,,,,,,
